date,culture_id,action_id
2025-06-01,mais,plantation
2025-06-01,haricot,semis
2025-06-02,riz,semis
2025-06-02,manioc,recolte
2025-06-03,haricot,recolte
2025-06-04,manioc,plantation
2025-06-04,haricot,plantation
2025-06-05,haricot,entretien
2025-06-05,mais,plantation
2025-06-06,mais,entretien
2025-06-07,manioc,semis
2025-06-07,manioc,entretien
2025-06-08,manioc,plantation
2025-06-08,mais,plantation
2025-06-09,manioc,recolte
2025-06-09,manioc,recolte
2025-06-10,manioc,plantation
2025-06-10,mais,plantation
2025-06-11,riz,entretien
2025-06-12,mais,entretien
2025-06-12,mais,plantation
2025-06-13,riz,recolte
2025-06-13,manioc,plantation
2025-06-14,mais,semis
2025-06-14,manioc,recolte
2025-06-15,haricot,semis
2025-06-16,riz,recolte
2025-06-17,mais,semis
2025-06-18,mais,entretien
2025-06-18,riz,semis
2025-06-19,riz,plantation
2025-06-20,haricot,entretien
2025-06-20,manioc,entretien
2025-06-21,manioc,semis
2025-06-22,mais,semis
2025-06-23,haricot,plantation
2025-06-24,riz,entretien
2025-06-24,manioc,recolte
2025-06-25,manioc,recolte
2025-06-26,haricot,entretien
2025-06-27,haricot,entretien
2025-06-28,haricot,recolte
2025-06-29,riz,recolte
2025-06-30,manioc,semis
2025-06-30,mais,semis
2025-06-31,riz,plantation
