date,programme1,programme2,programme3
2026-05-02,Messe matin,,
2026-05-04,Messe matin,,Confession
2026-05-05,Messe matin,,Confession
2026-05-08,Messe soir,,
2026-05-09,Messe soir,,
2026-05-11,Messe soir,,Confession
2026-05-12,Messe soir,,
2026-05-13,Messe soir,,
2026-05-14,Messe matin,,Confession
2026-05-16,Messe soir,,Confession
2026-05-17,Messe matin,,Confession
2026-05-23,Messe soir,,Confession
2026-05-24,Messe soir,Réunion chorale,Confession
2026-05-27,Messe soir,Réunion chorale,
2026-05-29,Messe soir,,
2026-05-30,Messe soir,,
2026-05-31,Messe matin,Réunion chorale,Confession
