date,culture_id,action_id
2026-10-01,mais,plantation
2026-10-01,haricot,semis
2026-10-02,riz,semis
2026-10-02,manioc,recolte
2026-10-03,haricot,recolte
2026-10-04,manioc,plantation
2026-10-04,haricot,plantation
2026-10-05,haricot,entretien
2026-10-05,mais,plantation
2026-10-06,mais,entretien
2026-10-07,manioc,semis
2026-10-07,manioc,entretien
2026-10-08,manioc,plantation
2026-10-08,mais,plantation
2026-10-09,manioc,recolte
2026-10-09,manioc,recolte
2026-10-10,manioc,plantation
2026-10-10,mais,plantation
2026-10-11,riz,entretien
2026-10-12,mais,entretien
2026-10-12,mais,plantation
2026-10-13,riz,recolte
2026-10-13,manioc,plantation
2026-10-14,mais,semis
2026-10-14,manioc,recolte
2026-10-15,haricot,semis
2026-10-16,riz,recolte
2026-10-17,mais,semis
2026-10-18,mais,entretien
2026-10-18,riz,semis
2026-10-19,riz,plantation
2026-10-20,haricot,entretien
2026-10-20,manioc,entretien
2026-10-21,manioc,semis
2026-10-22,mais,semis
2026-10-23,haricot,plantation
2026-10-24,riz,entretien
2026-10-24,manioc,recolte
2026-10-25,manioc,recolte
2026-10-26,haricot,entretien
2026-10-27,haricot,entretien
2026-10-28,haricot,recolte
2026-10-29,riz,recolte
2026-10-30,manioc,semis
2026-10-30,mais,semis
2026-10-31,riz,plantation
