date,culture_id,action_id
2025-07-01,riz,recolte
2025-07-02,riz,entretien
2025-07-02,haricot,plantation
2025-07-03,mais,semis
2025-07-03,haricot,semis
2025-07-04,haricot,recolte
2025-07-05,haricot,entretien
2025-07-06,haricot,recolte
2025-07-06,mais,entretien
2025-07-07,manioc,plantation
2025-07-08,haricot,recolte
2025-07-08,riz,entretien
2025-07-09,manioc,semis
2025-07-10,manioc,recolte
2025-07-11,mais,semis
2025-07-12,haricot,entretien
2025-07-12,mais,semis
2025-07-13,riz,entretien
2025-07-13,manioc,semis
2025-07-14,haricot,semis
2025-07-14,mais,entretien
2025-07-15,manioc,entretien
2025-07-15,manioc,entretien
2025-07-16,riz,entretien
2025-07-17,riz,semis
2025-07-17,manioc,recolte
2025-07-18,haricot,entretien
2025-07-18,manioc,entretien
2025-07-19,riz,plantation
2025-07-20,mais,entretien
2025-07-20,manioc,plantation
2025-07-21,mais,plantation
2025-07-21,riz,recolte
2025-07-22,riz,semis
2025-07-23,riz,plantation
2025-07-23,riz,recolte
2025-07-24,manioc,semis
2025-07-24,riz,recolte
2025-07-25,mais,entretien
2025-07-26,mais,semis
2025-07-27,haricot,semis
2025-07-27,manioc,recolte
2025-07-28,riz,recolte
2025-07-29,manioc,recolte
2025-07-29,manioc,entretien
2025-07-30,mais,plantation
2025-07-31,mais,entretien
