date,culture_id,action_id
2026-09-01,mais,plantation
2026-09-01,haricot,semis
2026-09-02,riz,semis
2026-09-02,manioc,recolte
2026-09-03,haricot,recolte
2026-09-04,manioc,plantation
2026-09-04,haricot,plantation
2026-09-05,haricot,entretien
2026-09-05,mais,plantation
2026-09-06,mais,entretien
2026-09-07,manioc,semis
2026-09-07,manioc,entretien
2026-09-08,manioc,plantation
2026-09-08,mais,plantation
2026-09-09,manioc,recolte
2026-09-09,manioc,recolte
2026-09-10,manioc,plantation
2026-09-10,mais,plantation
2026-09-11,riz,entretien
2026-09-12,mais,entretien
2026-09-12,mais,plantation
2026-09-13,riz,recolte
2026-09-13,manioc,plantation
2026-09-14,mais,semis
2026-09-14,manioc,recolte
2026-09-15,haricot,semis
2026-09-16,riz,recolte
2026-09-17,mais,semis
2026-09-18,mais,entretien
2026-09-18,riz,semis
2026-09-19,riz,plantation
2026-09-20,haricot,entretien
2026-09-20,manioc,entretien
2026-09-21,manioc,semis
2026-09-22,mais,semis
2026-09-23,haricot,plantation
2026-09-24,riz,entretien
2026-09-24,manioc,recolte
2026-09-25,manioc,recolte
2026-09-26,haricot,entretien
2026-09-27,haricot,entretien
2026-09-28,haricot,recolte
2026-09-29,riz,recolte
2026-09-30,manioc,semis
2026-09-30,mais,semis
2026-09-31,riz,plantation
