date,programme1,programme2,programme3
2025-03-02,Messe soir,,
2025-03-03,Messe soir,,Confession
2025-03-04,Messe matin,Réunion chorale,Confession
2025-03-05,Messe soir,Réunion chorale,
2025-03-06,Messe soir,,
2025-03-08,Messe soir,Réunion chorale,
2025-03-10,Messe soir,Réunion chorale,
2025-03-11,Messe matin,Réunion chorale,
2025-03-12,Messe soir,,Confession
2025-03-13,Messe matin,,Confession
2025-03-14,Messe matin,Réunion chorale,Confession
2025-03-15,Messe matin,Réunion chorale,
2025-03-16,Messe matin,Réunion chorale,
2025-03-17,Messe matin,Réunion chorale,
2025-03-19,Messe matin,,Confession
2025-03-20,Messe soir,Réunion chorale,
2025-03-21,Messe matin,Réunion chorale,
2025-03-22,Messe soir,Réunion chorale,Confession
2025-03-23,Messe matin,Réunion chorale,
2025-03-25,Messe matin,Réunion chorale,
2025-03-26,Messe soir,,
2025-03-28,Messe soir,Réunion chorale,Confession
2025-03-29,Messe matin,,Confession
2025-03-30,Messe soir,Réunion chorale,
