date,programme1,programme2,programme3
2026-12-02,Messe soir,,Confession
2026-12-04,Messe matin,,
2026-12-05,Messe matin,Réunion chorale,Confession
2026-12-06,Messe matin,Réunion chorale,
2026-12-07,Messe matin,,
2026-12-09,Messe soir,Réunion chorale,Confession
2026-12-10,Messe soir,Réunion chorale,Confession
2026-12-11,Messe soir,,
2026-12-12,Messe soir,,
2026-12-13,Messe matin,,
2026-12-14,Messe soir,,
2026-12-16,Messe soir,,Confession
2026-12-17,Messe matin,Réunion chorale,Confession
2026-12-18,Messe matin,,
2026-12-19,Messe soir,,Confession
2026-12-20,Messe soir,,
2026-12-21,Messe matin,,Confession
2026-12-22,Messe matin,Réunion chorale,
2026-12-23,Messe soir,,Confession
2026-12-26,Messe matin,Réunion chorale,
2026-12-27,Messe matin,Réunion chorale,
2026-12-29,Messe soir,,
2026-12-30,Messe soir,Réunion chorale,Confession
