date,culture_id,action_id
2025-12-01,haricot,entretien
2025-12-02,mais,plantation
2025-12-03,manioc,recolte
2025-12-04,haricot,recolte
2025-12-05,manioc,entretien
2025-12-06,haricot,semis
2025-12-06,manioc,entretien
2025-12-07,riz,semis
2025-12-08,riz,plantation
2025-12-08,manioc,entretien
2025-12-09,riz,semis
2025-12-10,riz,plantation
2025-12-11,mais,recolte
2025-12-11,manioc,recolte
2025-12-12,mais,plantation
2025-12-13,haricot,plantation
2025-12-14,haricot,recolte
2025-12-14,mais,recolte
2025-12-15,manioc,entretien
2025-12-16,riz,recolte
2025-12-17,mais,entretien
2025-12-17,riz,recolte
2025-12-18,mais,semis
2025-12-18,haricot,plantation
2025-12-19,manioc,semis
2025-12-20,haricot,plantation
2025-12-21,manioc,entretien
2025-12-21,manioc,entretien
2025-12-22,mais,entretien
2025-12-23,riz,recolte
2025-12-24,mais,plantation
2025-12-24,riz,plantation
2025-12-25,riz,recolte
2025-12-25,mais,semis
2025-12-26,haricot,plantation
2025-12-27,riz,recolte
2025-12-27,manioc,semis
2025-12-28,riz,recolte
2025-12-29,mais,plantation
2025-12-29,haricot,entretien
2025-12-30,riz,plantation
2025-12-30,riz,plantation
2025-12-31,riz,recolte
2025-12-31,haricot,entretien
