date,programme1,programme2,programme3
2026-11-01,Messe soir,Réunion chorale,
2026-11-02,Messe matin,Réunion chorale,
2026-11-03,Messe matin,Réunion chorale,
2026-11-04,Messe soir,,
2026-11-05,Messe soir,Réunion chorale,
2026-11-06,Messe soir,Réunion chorale,
2026-11-07,Messe matin,,Confession
2026-11-08,Messe matin,,
2026-11-09,Messe soir,Réunion chorale,
2026-11-11,Messe soir,,
2026-11-12,Messe soir,Réunion chorale,
2026-11-14,Messe soir,,
2026-11-15,Messe soir,Réunion chorale,Confession
2026-11-16,Messe soir,,
2026-11-18,Messe soir,,
2026-11-19,Messe matin,Réunion chorale,
2026-11-20,Messe soir,Réunion chorale,Confession
2026-11-22,Messe soir,Réunion chorale,Confession
2026-11-23,Messe matin,Réunion chorale,
2026-11-24,Messe soir,Réunion chorale,Confession
2026-11-26,Messe matin,Réunion chorale,Confession
2026-11-30,Messe soir,Réunion chorale,
