date,programme1,programme2,programme3
2026-04-01,Messe matin,Réunion chorale,
2026-04-02,Messe matin,Réunion chorale,
2026-04-04,Messe matin,,
2026-04-05,Messe soir,Réunion chorale,
2026-04-06,Messe soir,,
2026-04-07,Messe matin,Réunion chorale,
2026-04-09,Messe soir,,
2026-04-10,Messe soir,,
2026-04-11,Messe soir,,
2026-04-13,Messe matin,Réunion chorale,
2026-04-15,Messe matin,,
2026-04-17,Messe matin,,
2026-04-18,Messe matin,Réunion chorale,
2026-04-19,Messe matin,,
2026-04-20,Messe matin,Réunion chorale,
2026-04-21,Messe soir,Réunion chorale,
2026-04-22,Messe soir,,Confession
2026-04-23,Messe matin,,
2026-04-27,Messe matin,,
2026-04-28,Messe soir,Réunion chorale,Confession
2026-04-29,Messe soir,Réunion chorale,
2026-04-30,Messe soir,,
