date,culture_id,action_id
2026-08-01,mais,plantation
2026-08-01,haricot,semis
2026-08-02,riz,semis
2026-08-02,manioc,recolte
2026-08-03,haricot,recolte
2026-08-04,manioc,plantation
2026-08-04,haricot,plantation
2026-08-05,haricot,entretien
2026-08-05,mais,plantation
2026-08-06,mais,entretien
2026-08-07,manioc,semis
2026-08-07,manioc,entretien
2026-08-08,manioc,plantation
2026-08-08,mais,plantation
2026-08-09,manioc,recolte
2026-08-09,manioc,recolte
2026-08-10,manioc,plantation
2026-08-10,mais,plantation
2026-08-11,riz,entretien
2026-08-12,mais,entretien
2026-08-12,mais,plantation
2026-08-13,riz,recolte
2026-08-13,manioc,plantation
2026-08-14,mais,semis
2026-08-14,manioc,recolte
2026-08-15,haricot,semis
2026-08-16,riz,recolte
2026-08-17,mais,semis
2026-08-18,mais,entretien
2026-08-18,riz,semis
2026-08-19,riz,plantation
2026-08-20,haricot,entretien
2026-08-20,manioc,entretien
2026-08-21,manioc,semis
2026-08-22,mais,semis
2026-08-23,haricot,plantation
2026-08-24,riz,entretien
2026-08-24,manioc,recolte
2026-08-25,manioc,recolte
2026-08-26,haricot,entretien
2026-08-27,haricot,entretien
2026-08-28,haricot,recolte
2026-08-29,riz,recolte
2026-08-30,manioc,semis
2026-08-30,mais,semis
2026-08-31,riz,plantation
