date,culture_id,action_id
2025-02-01,riz,recolte
2025-02-01,riz,plantation
2025-02-02,riz,recolte
2025-02-02,haricot,entretien
2025-02-03,riz,recolte
2025-02-04,mais,plantation
2025-02-04,mais,plantation
2025-02-05,mais,recolte
2025-02-05,riz,plantation
2025-02-06,riz,entretien
2025-02-07,haricot,plantation
2025-02-07,mais,plantation
2025-02-08,riz,semis
2025-02-08,riz,recolte
2025-02-09,mais,semis
2025-02-09,manioc,plantation
2025-02-10,riz,recolte
2025-02-10,manioc,plantation
2025-02-11,manioc,semis
2025-02-12,mais,entretien
2025-02-13,manioc,semis
2025-02-14,riz,recolte
2025-02-14,mais,entretien
2025-02-15,riz,entretien
2025-02-15,riz,semis
2025-02-16,haricot,entretien
2025-02-17,mais,semis
2025-02-17,riz,semis
2025-02-18,mais,semis
2025-02-18,riz,semis
2025-02-19,haricot,plantation
2025-02-19,mais,semis
2025-02-20,haricot,semis
2025-02-21,manioc,semis
2025-02-21,manioc,semis
2025-02-22,riz,recolte
2025-02-22,mais,semis
2025-02-23,manioc,recolte
2025-02-24,mais,plantation
2025-02-25,riz,entretien
2025-02-25,manioc,plantation
2025-02-26,mais,recolte
2025-02-27,manioc,semis
2025-02-27,mais,semis
2025-02-28,manioc,semis
