date,programme1,programme2,programme3
2026-02-01,Messe soir,Réunion chorale,Confession
2026-02-03,Messe soir,,
2026-02-04,Messe soir,Réunion chorale,
2026-02-05,Messe soir,,Confession
2026-02-06,Messe soir,,
2026-02-08,Messe soir,,
2026-02-09,Messe soir,Réunion chorale,
2026-02-10,Messe soir,Réunion chorale,Confession
2026-02-13,Messe matin,Réunion chorale,Confession
2026-02-16,Messe matin,Réunion chorale,Confession
2026-02-18,Messe soir,Réunion chorale,
2026-02-19,Messe matin,Réunion chorale,
2026-02-20,Messe matin,Réunion chorale,
2026-02-21,Messe matin,,
2026-02-22,Messe soir,,
2026-02-23,Messe soir,Réunion chorale,
2026-02-24,Messe matin,Réunion chorale,
2026-02-25,Messe soir,Réunion chorale,
2026-02-26,Messe soir,,
2026-02-27,Messe matin,Réunion chorale,
